plot,bush,x,y
122,122-4,319.1,466.9
122,122-5,315.5,478.1
123,123-1,275,485
123,123-2,284.5,478.1
123,123-3,280.9,466.9
123,123-4,269.1,466.9
123,123-5,265.5,478.1
124,124-1,225,485
124,124-2,234.5,478.1
124,124-3,230.9,466.9
124,124-4,219.1,466.9
124,124-5,215.5,478.1
125,125-1,175,485
125,125-2,184.5,478.1
125,125-3,180.9,466.9
125,125-4,169.1,466.9
125,125-5,165.5,478.1
126,126-1,125,485
126,126-2,134.5,478.1
126,126-3,130.9,466.9
126,126-4,119.1,466.9
126,126-5,115.5,478.1
127,127-1,75,485
127,127-2,84.5,478.1
127,127-3,80.9,466.9
127,127-4,69.1,466.9
127,127-5,65.5,478.1
128,128-1,25,485
128,128-2,34.5,478.1
128,128-3,30.9,466.9
128,128-4,19.1,466.9
128,128-5,15.5,478.1
