"quadrat","total_trees_5","total_trees_10","total_trees_15","total_trees_20","total_trees_30","total_trees_40","total_trees_50","total_trees_3","total_basal_3","total_basal_5","total_basal_10","total_basal_15","total_basal_20","total_basal_30","total_basal_40","total_basal_50"
77,1,2,6,14,47,79,130,0,0,631.750426883685,1162.92129593102,2064.26746401692,4006.37157259009,16711.089975338,27055.0145649463,37523.1770946814
78,1,4,10,15,41,67,112,0,0,40.6449893668082,783.652679218883,2796.58471634152,5311.1985988807,11973.6035660184,24270.5033425877,38558.9463234775
79,1,5,7,14,44,67,109,0,0,1005.36267691833,1674.62512811406,3693.60505307419,8320.06576986761,26421.9654337269,38053.9819073597,52999.9337468978
80,1,5,9,14,46,76,112,1,211.05934890774,211.05934890774,1664.05564834333,3552.19031571403,6602.36217330687,23179.277369646,38502.3269524725,51164.8820276966
81,0,1,9,11,27,50,85,0,0,0,35.0936649517629,1388.36666014483,1461.95035653394,4526.17559560179,12271.1238377608,23018.9725320903
82,4,6,13,19,41,77,119,1,346.639466054148,745.613852045204,1700.28329226462,5577.67490319832,7919.19505272962,14428.3823519275,20478.4991543975,30628.522093738
83,1,5,8,25,52,97,142,1,22.9978892767789,22.9978892767789,329.371154728677,395.192068768477,4672.10396714804,17167.6704929812,31396.666715302,46791.6702479004
84,3,7,16,26,56,85,121,2,159.158921965473,611.569580099633,834.457324377962,5221.04607714101,7259.19939809541,15145.8401029903,24938.4694767719,35055.2712090662
85,0,1,4,10,27,57,89,0,0,0,42.0964824478063,574.266048763039,3157.5155005106,8861.8021398121,21058.301407856,29562.374960954
86,2,4,6,16,41,75,115,1,189.508973838382,215.868215513261,1832.60630350065,3394.31418258988,6173.66401014397,13224.0648552983,41276.8750753935,61525.2799496895
87,2,7,17,30,57,90,134,2,195.77649549734,195.77649549734,7863.58949871217,10662.9228209209,14708.5229038843,24580.3079886126,40975.9130780068,66506.8837811465
88,0,1,2,6,19,42,82,0,0,0,784.672862404101,934.561804709187,2974.8772455655,6037.85709720366,10639.656755565,29394.1259044139
89,0,1,5,9,24,53,91,0,0,0,644.577519522176,1490.78604912333,3370.01281432917,8818.39819950679,19581.3069303263,31239.7884836711
